rank_time,nsecs,Type
1,0.7284972550781714,Background
2,0.2605333724879305,Background
3,0.13333021535135892,Background
4,0.07908206012062796,Background
5,0.050888381522748674,Background
6,0.03453750503763249,Background
7,0.02431704508187818,Background
8,0.0174867112408792,Background
9,0.012831354723716213,Background
10,0.009564062966057486,Background
11,0.007245976015488942,Background
12,0.005521347130770273,Background
13,0.004231156229899459,Background
14,0.003263858965802044,Background
1,0.450325404471141,Foreground
2,0.20451240129618886,Foreground
3,0.11372469200744915,Foreground
4,0.06912373357159636,Foreground
5,0.044483314889823204,Foreground
6,0.02986623251758281,Foreground
7,0.02082399654151433,Foreground
8,0.0149695840655472,Foreground
9,0.011018553493249966,Foreground
10,0.008265471207437222,Foreground
11,0.006319460464813649,Foreground
12,0.004900877759619486,Foreground
13,0.0038499649643754224,Foreground
14,0.0030597915370935112,Foreground
