category,c
Casual,0.003360247161307789
Maps & Navigation,0.0017199809886125047
Lifestyle,0.0036409513890652916
Action,0.001748501439051308
Strategy,0.0027667601392844725
Adventure,0.0017146782165331255
Puzzle,0.002463524964427549
Shopping,0.009919089185923113
Role Playing,0.0015933008679951187
Food & Drink,0.0016590767692320804
Card,0.002395475093547899
Simulation,0.002001156696956042
Board,0.0011025863497665168
Music,0.00030993002542420634
Parenting,0.0013811202866757784
Productivity,0.04446551425590952
Comics,0.001305386201474493
News & Magazines,0.019783319982531078
Dating,0.0027368163065234264
Arcade,0.0016289374106130338
Beauty,0.00023391883927649206
Medical,0.00042229936296385673
Finance,0.005063898002906498
Racing,0.0010036774902874748
Sports,0.010385480286881429
Casino,0.0012628784229879117
Music & Audio,0.009906033576468293
Communication,0.4230308597269082
Word,0.00212911740495997
Art & Design,0.0002923838561040721
Health & Fitness,0.00386994047462131
House & Home,0.0025893744184946306
Trivia,0.001098010285268219
Auto & Vehicles,0.0032816052607111765
Educational,0.00047328265038284215
Business,0.0010183325843046893
Entertainment,0.002339518396101052
Education,0.00088862628418759
Events,0.00030212300819466224
Books & Reference,0.0014052908183544584
Social,0.18122249625223658
Video Players & Editors,0.004902994065337837
Photography,0.0005675324776291136
Libraries & Demo,0.0006552883948697173
Travel & Local,0.0018091320257278575
