rank_frequency,S,fk
1,55,0.3404969357240494
1,87,0.2895144063700544
1,82,0.31412505051439116
1,88,0.2888431954305734
1,54,0.33329127395712865
1,10,0.470420502605414
1,11,0.44714276074624454
1,22,0.4292932701932013
1,34,0.3694318555294477
1,45,0.3224009216361012
1,44,0.3411984606226416
1,81,0.2988812528711147
1,70,0.3104674921485075
1,33,0.384605419339931
1,21,0.40867003763243104
1,43,0.356599020144904
1,97,0.289279135243505
1,80,0.29851397288670195
1,95,0.29900644793875486
1,18,0.4070419910511384
1,101,0.31232481861753625
1,93,0.2794802374961832
1,75,0.30592300863781613
1,74,0.29980807064742254
1,72,0.29876426259303096
1,52,0.33761291283959344
1,100,0.2886668936748927
1,38,0.3653372450498918
1,62,0.30849241970879454
1,8,0.4900865439357221
1,9,0.4901430199022024
1,39,0.34911032445651885
1,41,0.37146781770404935
1,65,0.32437377438985626
1,103,0.30996068514087466
1,35,0.3952683951525848
1,67,0.32016623097705216
1,48,0.3510429029184703
1,78,0.2932878831266363
1,47,0.36087413194397544
1,63,0.33356289950739715
1,27,0.3833372579482599
1,26,0.39363426350206226
1,25,0.40488190115525025
1,1,0.975
1,2,0.6883399617968579
1,3,0.6058959635458577
1,4,0.6383358699427761
1,5,0.5150086224222942
1,6,0.5407759678922822
1,7,0.530125117938807
1,14,0.4192657752899203
1,15,0.40060894698208527
1,46,0.36662901986636964
1,94,0.293412980404149
1,59,0.3217876341199637
1,36,0.36663650074347354
1,37,0.3676371452026413
1,58,0.3243749278465527
1,28,0.3867408547341005
1,104,0.24035404082432582
1,19,0.4057397017626461
1,20,0.4220131827210721
1,85,0.30178407603780605
1,32,0.39196046220143826
1,57,0.3111545924840622
1,42,0.34899510991091404
1,76,0.3351984907043057
1,92,0.305180694504213
1,91,0.310000438980511
1,53,0.337400941097372
1,99,0.3315895097712345
1,31,0.38670327500878005
1,71,0.3026824442156337
1,83,0.298378767594423
1,24,0.3968916213984214
1,79,0.2957524759291418
1,98,0.2743931540932216
1,49,0.33687359117893645
1,56,0.3293570493676658
1,17,0.43476299721421435
1,16,0.40377817496626284
1,68,0.31298425723380074
1,60,0.32648693987739497
1,50,0.35934641186283756
1,12,0.46780329579350066
1,13,0.4361809615397229
1,30,0.34786497750336015
1,73,0.2988460233252623
1,64,0.3325985264503391
1,89,0.27713257347266523
1,86,0.2786361949644741
1,29,0.36078695641026354
1,66,0.3237485873706578
2,55,0.19169201161928984
2,87,0.1587865366700783
2,82,0.1741853946597684
2,88,0.17939391222692017
2,54,0.18778871101593717
2,10,0.22099577833923023
2,11,0.2123961047147638
2,22,0.22238768078655166
2,34,0.19767279269631877
2,45,0.17727651097047784
2,44,0.19237296932075193
2,81,0.19413538022107826
2,70,0.18067558993326147
2,33,0.20386577772209596
2,20,0.21724928825378406
2,21,0.2127277538375229
2,43,0.19994854184097371
2,97,0.16715445365413972
2,80,0.18228197655729453
2,95,0.18757361225473182
2,18,0.21043190154638183
2,101,0.16982267874352688
2,93,0.16740647763251512
2,75,0.17823467837925303
2,74,0.17550166943882076
2,72,0.16885295861279098
2,52,0.18861071738196147
2,100,0.1452168334260023
2,38,0.1973250920418611
2,62,0.17977479227370252
2,7,0.2332881739178078
2,8,0.22336622726862226
2,9,0.2276665506343912
2,39,0.19088376325752646
2,41,0.20150703701790376
2,65,0.19647882873017303
2,103,0.18144671610671795
2,35,0.21626178832677093
2,67,0.18922785595684463
2,48,0.1990177698855169
2,78,0.18035379339242674
2,47,0.20071244051339773
2,63,0.19023333663676523
2,27,0.20036749090001715
2,25,0.2152425743247664
2,2,0.265836568452071
2,3,0.24476525676168395
2,4,0.2655728663734141
2,5,0.2247704210828261
2,6,0.23040996188592702
2,14,0.2054162595459195
2,46,0.198659385585071
2,94,0.1955104035959109
2,59,0.1818056769370208
2,36,0.19817462031310026
2,37,0.2017236116446199
2,58,0.18148822916941135
2,28,0.2024590642410018
2,104,0.1669703233518795
2,19,0.2094868525621887
2,85,0.19531147744914845
2,32,0.20706132111060532
2,57,0.17292762955473026
2,42,0.1932362589175934
2,76,0.1887980315331672
2,92,0.18289113102549873
2,91,0.18272538867578741
2,53,0.18611287950967492
2,99,0.18797323025550344
2,31,0.20514312230718842
2,71,0.18390777514999473
2,83,0.1727210956612608
2,24,0.20694718741666773
2,79,0.17288779102895807
2,98,0.15739863266968307
2,49,0.1876533356982633
2,56,0.18837241885464187
2,17,0.22203688102691474
2,15,0.19848471524696892
2,16,0.2057247612425081
2,68,0.18226972727222726
2,60,0.18584788008982675
2,50,0.20252657721428685
2,12,0.22168457488251647
2,13,0.2094390239735778
2,30,0.18497840149269992
2,73,0.17263197510967293
2,64,0.1895531546547047
2,89,0.1592559365682386
2,86,0.16780656961124268
2,26,0.20933986898443827
2,29,0.1920571078591205
2,66,0.18006186365126947
3,55,0.12139395672987231
3,87,0.11521668159794168
3,82,0.11498240439234128
3,88,0.114054097521869
3,54,0.11748568921026824
3,10,0.11909578172744087
3,11,0.1164329535044326
3,22,0.12910344628298565
3,34,0.11964326189087787
3,45,0.11035048268984088
3,44,0.1168378871420068
3,81,0.12025218016749392
3,70,0.1183754592087495
3,41,0.12214081471016733
3,33,0.12297168085767247
3,20,0.12726875465552492
3,21,0.1238081258773469
3,43,0.12256819535417116
3,97,0.11612107555062198
3,80,0.11941818768951702
3,95,0.11801434995894437
3,37,0.12069442713870357
3,18,0.12114298822319132
3,101,0.11679242763403026
3,93,0.11394549089489829
3,75,0.11762720058518442
3,74,0.11707296304331964
3,72,0.11004468701762103
3,52,0.11904320859709397
3,100,0.116551223605554
3,38,0.12166467791781267
3,62,0.11144821976818453
3,7,0.12162244920058221
