meanAS,week,new
1,1,1.6666666666666667
1,2,2.2222222222222223
1,3,3.0
1,4,3.375
1,5,4.125
1,6,3.0
1,7,3.4
1,8,3.5
1,9,3.5
1,10,3.5
1,11,2.6666666666666665
1,12,2.6666666666666665
1,13,3.0
1,14,3.3333333333333335
1,15,1.5
1,16,1.5
1,17,1.5
1,18,1.5
1,19,2.0
1,20,2.0
1,21,2.0
1,22,2.0
1,23,2.0
1,24,2.0
1,25,2.0
1,26,2.0
1,27,2.0
1,28,2.0
1,29,2.0
1,30,2.5
1,31,2.5
1,32,2.5
1,33,2.5
1,34,2.5
1,35,2.5
1,36,3.0
1,37,3.0
1,38,3.0
1,39,3.0
1,40,3.5
1,41,3.0
2,1,1.3333333333333333
2,2,1.7777777777777777
2,3,1.8888888888888888
2,4,2.0
2,5,2.5294117647058822
2,6,2.6875
2,7,2.6666666666666665
2,8,2.7333333333333334
2,9,2.857142857142857
2,10,2.857142857142857
2,11,2.75
2,12,2.9166666666666665
2,13,3.1666666666666665
2,14,3.090909090909091
2,15,3.4
2,16,3.5
2,17,3.2222222222222223
2,18,3.125
2,19,3.125
2,20,3.125
2,21,3.125
2,22,3.125
2,23,3.125
2,24,3.125
2,25,2.857142857142857
2,26,2.0
2,27,2.2
2,28,2.4
2,29,2.6
2,30,2.6
2,31,2.6
2,32,2.6
2,33,2.6
2,34,2.6
2,35,2.6
2,36,2.6
2,37,2.75
2,38,2.75
2,39,3.0
2,40,3.0
2,41,3.0
2,42,3.0
2,43,3.0
2,44,3.0
2,45,3.6666666666666665
2,46,3.6666666666666665
2,47,3.6666666666666665
2,48,3.6666666666666665
2,49,3.6666666666666665
2,50,3.6666666666666665
2,51,3.6666666666666665
2,52,3.6666666666666665
2,53,3.6666666666666665
2,54,3.0
2,55,3.0
3,1,1.3095238095238095
3,2,1.880952380952381
3,3,2.0714285714285716
3,4,2.3333333333333335
3,5,2.6666666666666665
3,6,2.9761904761904763
3,7,3.1951219512195124
3,8,3.3658536585365852
3,9,3.475
3,10,3.625
3,11,3.6923076923076925
3,12,3.710526315789474
3,13,3.8684210526315788
3,14,3.918918918918919
3,15,4.055555555555555
3,16,4.222222222222222
3,17,4.264705882352941
3,18,4.303030303030303
3,19,4.32258064516129
3,20,4.354838709677419
3,21,4.419354838709677
3,22,4.451612903225806
3,23,4.433333333333334
3,24,4.433333333333334
3,25,4.5
3,26,4.357142857142857
3,27,4.333333333333333
3,28,4.346153846153846
3,29,4.36
3,30,4.4
3,31,4.4
3,32,4.4
3,33,4.333333333333333
3,34,4.130434782608695
3,35,4.173913043478261
3,36,4.173913043478261
3,37,4.173913043478261
3,38,4.260869565217392
3,39,4.304347826086956
3,40,4.363636363636363
3,41,4.363636363636363
3,42,4.363636363636363
3,43,4.5
3,44,4.5
3,45,4.590909090909091
3,46,4.636363636363637
3,47,4.75
3,48,4.85
3,49,4.85
3,50,4.7368421052631575
3,51,4.842105263157895
3,52,4.842105263157895
3,53,4.947368421052632
3,54,4.947368421052632
3,55,4.947368421052632
3,56,4.833333333333333
3,57,4.823529411764706
3,58,4.882352941176471
3,59,4.5
3,60,4.5
3,61,4.6
3,62,4.6
3,63,4.357142857142857
3,64,4.357142857142857
3,65,4.357142857142857
3,66,4.428571428571429
3,67,4.571428571428571
3,68,4.642857142857143
3,69,4.642857142857143
3,70,4.714285714285714
3,71,4.615384615384615
3,72,4.615384615384615
3,73,4.615384615384615
3,74,4.769230769230769
3,75,4.769230769230769
3,76,4.769230769230769
3,77,4.846153846153846
3,78,4.846153846153846
3,79,4.846153846153846
3,80,4.916666666666667
3,81,4.916666666666667
3,82,4.916666666666667
3,83,4.916666666666667
3,84,4.916666666666667
3,85,4.916666666666667
3,86,4.916666666666667
3,87,4.916666666666667
3,88,4.916666666666667
3,89,4.916666666666667
3,90,4.916666666666667
3,91,4.916666666666667
3,92,4.916666666666667
3,93,4.916666666666667
3,94,4.916666666666667
3,95,5.0
3,96,5.0
3,97,5.0
3,98,5.0
3,99,5.0
3,100,5.0
3,101,5.1
3,102,5.1
3,103,5.1
3,104,5.4
3,105,5.444444444444445
3,106,5.444444444444445
3,107,5.625
3,108,5.75
3,109,5.75
3,110,5.75
3,111,5.75
3,112,5.75
3,113,5.75
3,114,5.75
3,115,5.75
3,116,5.875
3,117,5.875
3,118,5.875
3,119,5.875
3,120,5.875
3,121,5.875
3,122,5.875
3,123,6.0
3,124,5.571428571428571
3,125,5.571428571428571
3,126,5.833333333333333
3,127,5.833333333333333
3,128,5.833333333333333
3,129,5.833333333333333
3,130,5.833333333333333
3,131,5.833333333333333
3,132,5.833333333333333
3,133,5.75
3,134,6.0
3,135,6.0
3,136,6.0
3,137,6.0
3,138,5.333333333333333
3,139,5.333333333333333
3,140,5.333333333333333
3,141,5.333333333333333
3,142,5.333333333333333
3,143,5.333333333333333
3,144,5.333333333333333
3,145,5.333333333333333
3,146,5.333333333333333
3,147,5.333333333333333
3,148,5.333333333333333
3,149,5.333333333333333
3,150,5.333333333333333
3,151,5.333333333333333
3,152,5.333333333333333
3,153,5.333333333333333
3,154,5.333333333333333
3,155,5.333333333333333
3,156,5.333333333333333
3,157,5.333333333333333
3,158,5.333333333333333
3,159,5.0
3,160,5.0
4,1,1.4431818181818181
4,2,2.0681818181818183
4,3,2.4204545454545454
4,4,2.7045454545454546
4,5,2.8620689655172415
4,6,3.057471264367816
4,7,3.2528735632183907
4,8,3.4482758620689653
4,9,3.5057471264367814
4,10,3.5697674418604652
4,11,3.7093023255813953
4,12,3.802325581395349
4,13,3.9186046511627906
4,14,3.976470588235294
4,15,4.0588235294117645
4,16,4.166666666666667
4,17,4.158536585365853
4,18,4.2439024390243905
4,19,4.296296296296297
4,20,4.345679012345679
4,21,4.379746835443038
4,22,4.454545454545454
4,23,4.4605263157894735
4,24,4.52
4,25,4.6
4,26,4.68
4,27,4.726027397260274
4,28,4.757142857142857
4,29,4.8
4,30,4.852941176470588
4,31,4.878787878787879
4,32,4.954545454545454
4,33,4.984848484848484
4,34,5.106060606060606
4,35,5.061538461538461
4,36,5.107692307692307
4,37,5.153846153846154
4,38,5.15625
4,39,5.190476190476191
4,40,5.238095238095238
4,41,5.163934426229508
4,42,5.116666666666666
4,43,5.216666666666667
4,44,5.283333333333333
4,45,5.298245614035087
4,46,5.285714285714286
4,47,5.327272727272727
4,48,5.381818181818182
4,49,5.418181818181818
4,50,5.454545454545454
4,51,5.490909090909091
4,52,5.433962264150943
