rank_frequency,S,fk
1,371,0.23629547734849013
1,315,0.2383097817460123
1,250,0.25992932608021857
1,155,0.3205924002108136
1,157,0.28792312301318634
1,211,0.2714158755665777
1,165,0.3131039620943371
1,230,0.258826111908122
1,367,0.2637594968121902
1,158,0.3019092525942792
1,159,0.2827086699446887
1,311,0.2553334895802767
1,162,0.30664757436376805
1,164,0.31751188978812495
1,331,0.23391259881008625
1,225,0.2643140386905316
1,146,0.32361222637561243
1,147,0.3201424760433149
1,339,0.2315827130015873
1,326,0.24270113737467494
1,199,0.290652332020577
1,403,0.23789714529804917
1,116,0.35040894139604817
1,118,0.34091793634135753
1,281,0.2381892750303945
1,286,0.2692581297698359
1,405,0.2377646259699672
1,324,0.24374578042432238
1,213,0.2831078980187068
1,234,0.2564552228778988
1,349,0.24786949572560835
1,392,0.22928562553664208
1,379,0.2118797306101801
1,239,0.266425578121404
1,359,0.24306427311297904
1,219,0.2687209249745074
1,373,0.23018313269932678
1,153,0.292674770873544
1,154,0.3265902404090686
1,320,0.2459357176385449
1,87,0.35288258410470064
1,88,0.3621737886272612
1,89,0.34312531221300485
1,295,0.24423125231921275
1,272,0.24387758713212165
1,456,0.21969178104726214
1,408,0.23027505447468938
1,399,0.2374048305701541
1,114,0.31296793968375847
1,115,0.32412175194510745
1,217,0.2544015918414091
1,386,0.23518924226816723
1,178,0.2841421011344598
1,179,0.2883945547819903
1,255,0.2611292877979812
1,382,0.2312506898327964
1,316,0.23390550505897403
1,353,0.23345728481041678
1,361,0.2627459546933877
1,237,0.2532243530273264
1,33,0.4151411732905316
1,34,0.458196840883038
1,35,0.39846964113788913
1,36,0.44547147444205387
1,37,0.44083735942977326
1,38,0.436104068024184
1,39,0.400301793253112
1,363,0.23940962805369811
1,214,0.26988932054215065
1,216,0.26954403833958557
1,309,0.24333837667592223
1,24,0.46522333640295854
1,25,0.41796835182745784
1,26,0.4932545303985465
1,27,0.4203925522047461
1,28,0.4235849079698606
1,29,0.4203427337767565
1,30,0.4368855664293276
1,31,0.4317533053737651
1,32,0.41517236102343263
1,304,0.2512602991676016
1,444,0.23845495786927137
1,94,0.3728287319745232
1,95,0.3714721566580941
1,97,0.3567693383302785
1,262,0.26423474102326155
1,231,0.2674159308432403
1,233,0.2530303784121931
1,196,0.27232468454781966
1,198,0.2720477534251709
1,440,0.2230957300097951
1,202,0.29195772687459776
1,204,0.2726435031005525
1,461,0.21116581988799057
1,201,0.3056624064964748
1,91,0.37580038077123024
1,92,0.352519335738883
1,93,0.3699100611407651
1,318,0.24777464528887055
1,247,0.25067518144641016
1,293,0.23027821054969486
1,384,0.22793482080408978
1,428,0.21291581973362134
1,347,0.2353921080722879
1,182,0.2681545587209685
1,183,0.3004764323175076
1,333,0.23272322788201943
1,288,0.24606826291232003
1,41,0.3732158339616052
1,42,0.40445389270749155
1,43,0.3930466054408932
1,44,0.4090291855437276
1,45,0.3842085454454141
1,46,0.39035620191088183
1,419,0.23196133999928462
1,138,0.3138460770428751
1,139,0.30951631090776377
1,421,0.23025287121699656
1,53,0.3978213953431072
1,54,0.3767097835858934
1,55,0.40343782779418963
1,56,0.38443409734335815
1,57,0.40037798340948993
1,226,0.285024014922262
1,47,0.4052213596120106
1,48,0.41738914010001593
1,49,0.39410017760578087
1,50,0.39287748629521657
1,52,0.3946729568324837
1,192,0.2796542570058565
1,193,0.2805758995145223
1,207,0.2721169909095671
1,222,0.2701065309500685
1,223,0.2727698991470702
1,269,0.2601487114308908
1,270,0.2630589971396753
1,259,0.26181014176567635
1,110,0.3198064306894962
1,111,0.33651183426549613
1,113,0.34250565676087286
1,176,0.2878115585324911
1,300,0.256112045699025
1,365,0.22665764501146612
1,244,0.26724312039763737
1,289,0.2692657078073849
1,149,0.2911388809083355
1,150,0.3141608187787167
1,357,0.22700885579453417
1,267,0.2479645534594941
1,185,0.28020621218270625
1,375,0.2262161267573089
1,166,0.29835302092358257
1,168,0.30363574955876493
1,277,0.24433938302859612
1,104,0.36580433368327725
1,105,0.3570223165299942
1,106,0.3469054756722045
1,337,0.227085949551679
1,80,0.37212457266302973
1,81,0.38885238728768856
1,82,0.3617146870723519
1,205,0.26169191050405693
1,377,0.2532196478676379
1,284,0.24087828099308695
1,343,0.25813181111073263
1,180,0.30727280888714353
1,401,0.2169671284992346
1,58,0.42031117491685677
1,59,0.3912632836800563
1,60,0.37747263772540196
1,62,0.39786383327099567
1,208,0.27796436179915746
1,210,0.27080365292492486
1,302,0.22151869884309636
1,330,0.23222226463363524
1,169,0.3105979997797561
1,170,0.30089924659335904
1,282,0.24875083411119916
1,390,0.21997920392139306
1,492,0.23058375264407896
1,313,0.2311737232854325
1,249,0.24698973837432392
1,298,0.2397695929948386
1,307,0.24939434158320975
1,410,0.23194962844309455
1,76,0.3627404029486814
1,78,0.3672939477377587
1,79,0.392267036961332
1,388,0.26033721104934876
1,264,0.25956160186895466
1,252,0.25650325837464677
1,98,0.3446306533195281
1,99,0.37135548639965904
1,100,0.34124318281625315
1,328,0.23306720953282975
1,135,0.31530620690168504
1,137,0.3071518211099125
1,236,0.26634715752235855
1,101,0.3476071323677251
1,103,0.3490995361793519
1,141,0.3064958302294584
1,142,0.31020535260566956
1,133,0.3102726562342614
1,134,0.3162037688868187
1,447,0.199719657378061
1,305,0.2666075743007064
1,296,0.2519491131704744
1,190,0.2832526729585675
1,464,0.23126071604061227
1,189,0.3055312423391998
1,172,0.27548855344885104
1,186,0.2705823121228724
1,187,0.29755205770701015
1,228,0.25406898245190196
1,67,0.3874527721404767
1,68,0.40068187897774943
1,70,0.3836578643065503
1,71,0.36895268309392215
1,275,0.2541226567029191
1,220,0.27041807910924803
1,173,0.29379665583093895
1,175,0.3013830828037745
1,1,0.600574888074888
1,2,0.6639373056297905
1,3,0.516143546225054
1,4,0.5157009249846463
1,5,0.48821155750850825
1,6,0.5045465276231721
1,7,0.4981219793413605
1,8,0.47349374937436806
1,9,0.49866727167638897
1,10,0.4401631367885
1,11,0.4945679151626947
1,12,0.4628125881089489
1,13,0.5200253631977483
1,14,0.4580721229014079
1,15,0.4477901400201227
1,16,0.4644576706636529
1,17,0.4638119535152897
1,18,0.444797669856544
1,19,0.43544145202842055
1,20,0.4332175667420978
1,21,0.447022429401385
1,22,0.4364118209642833
1,151,0.32168171498676196
1,125,0.32936326130364324
1,126,0.3286213577705026
1,369,0.22356992935772332
1,274,0.25448000432582596
1,355,0.2630062229525208
1,345,0.23346815546011215
